cell_file,Point,Target time,Recorded time,volt(V),% change vs end
PR_LFP_SelfDischarge_REPT_150_0314_0_100,End + 1 hr,2025-11-14 17:03:31.210,2025-11-14 17:03:31.643,3.447134,-5.5584124676679565
PR_LFP_SelfDischarge_REPT_150_0314_0_100,End + 24 hr,2025-11-15 16:03:31.210,2025-11-15 16:03:31.311,3.377924,-7.454568019820179
PR_LFP_SelfDischarge_REPT_150_0315_0_100,End of charge,2025-11-14 16:01:21.131,2025-11-14 16:01:21.131,3.650024,0.0
PR_LFP_SelfDischarge_REPT_150_0315_0_100,End + 5 min,2025-11-14 16:06:21.131,2025-11-14 16:06:21.588,3.548033,-2.7942555994152354
PR_LFP_SelfDischarge_REPT_150_0315_0_100,End + 1 hr,2025-11-14 17:01:21.131,2025-11-14 17:01:21.263,3.47223,-4.871036464417768
PR_LFP_SelfDischarge_REPT_150_0315_0_100,End + 24 hr,2025-11-15 16:01:21.131,2025-11-15 16:01:21.247,3.414174,-6.461601348374699
PR_LFP_SelfDischarge_REPT_150_0316_0_100,End of charge,2025-11-14 16:02:52.589,2025-11-14 16:02:52.589,3.650027,0.0
PR_LFP_SelfDischarge_REPT_150_0316_0_100,End + 5 min,2025-11-14 16:07:52.589,2025-11-14 16:07:52.878,3.538567,-3.0536760413005197
PR_LFP_SelfDischarge_REPT_150_0316_0_100,End + 1 hr,2025-11-14 17:02:52.589,2025-11-14 17:02:52.808,3.462062,-5.149687933815288
PR_LFP_SelfDischarge_REPT_150_0316_0_100,End + 24 hr,2025-11-15 16:02:52.589,2025-11-15 16:02:53.525,3.406663,-6.667457528396368
PR_LFP_SelfDischarge_REPT_150_0317_0_100,End of charge,2025-11-14 16:05:59.229,2025-11-14 16:05:59.229,3.650018,0.0
PR_LFP_SelfDischarge_REPT_150_0317_0_100,End + 5 min,2025-11-14 16:10:59.229,2025-11-14 16:10:59.777,3.532039,-3.232285429825279
PR_LFP_SelfDischarge_REPT_150_0317_0_100,End + 1 hr,2025-11-14 17:05:59.229,2025-11-14 17:05:59.418,3.442989,-5.671999425756266
PR_LFP_SelfDischarge_REPT_150_0317_0_100,End + 24 hr,2025-11-15 16:05:59.229,2025-11-15 16:05:59.362,3.386526,-7.218923303939878
PR_LFP_SelfDischarge_REPT_150_0318_0_100,End of charge,2025-11-14 15:59:14.505,2025-11-14 15:59:14.505,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0318_0_100,End + 5 min,2025-11-14 16:04:14.505,2025-11-14 16:04:15.097,3.539768,-3.020506479832835
PR_LFP_SelfDischarge_REPT_150_0318_0_100,End + 1 hr,2025-11-14 16:59:14.505,2025-11-14 16:59:15.416,3.443091,-5.669179075056367
PR_LFP_SelfDischarge_REPT_150_0318_0_100,End + 24 hr,2025-11-15 15:59:14.505,2025-11-15 15:59:14.861,3.372874,-7.592923539808175
PR_LFP_SelfDischarge_REPT_150_0319_0_100,End of charge,2025-11-14 15:59:21.029,2025-11-14 15:59:21.029,3.65002,0.0
PR_LFP_SelfDischarge_REPT_150_0319_0_100,End + 5 min,2025-11-14 16:04:21.029,2025-11-14 16:04:21.639,3.543691,-2.913107325439316
PR_LFP_SelfDischarge_REPT_150_0319_0_100,End + 1 hr,2025-11-14 16:59:21.029,2025-11-14 16:59:21.930,3.456987,-5.288546364129518
PR_LFP_SelfDischarge_REPT_150_0319_0_100,End + 24 hr,2025-11-15 15:59:21.029,2025-11-15 15:59:21.383,3.391646,-7.078700938624991
PR_LFP_SelfDischarge_REPT_150_0320_0_100,End of charge,2025-11-14 15:59:07.082,2025-11-14 15:59:07.082,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0320_0_100,End + 5 min,2025-11-14 16:04:07.082,2025-11-14 16:04:07.786,3.535455,-3.138670313042385
PR_LFP_SelfDischarge_REPT_150_0320_0_100,End + 1 hr,2025-11-14 16:59:07.082,2025-11-14 16:59:07.956,3.445807,-5.594768462722235
PR_LFP_SelfDischarge_REPT_150_0320_0_100,End + 24 hr,2025-11-15 15:59:07.082,2025-11-15 15:59:07.982,3.385434,-7.248815553461806
PR_LFP_SelfDischarge_REPT_150_0321_0_100,End of charge,2025-11-14 16:01:43.723,2025-11-14 16:01:43.723,3.650018,0.0
PR_LFP_SelfDischarge_REPT_150_0321_0_100,End + 5 min,2025-11-14 16:06:43.723,2025-11-14 16:06:43.760,3.535757,-3.1304229184623305
PR_LFP_SelfDischarge_REPT_150_0321_0_100,End + 1 hr,2025-11-14 17:01:43.723,2025-11-14 17:01:43.896,3.443262,-5.664520010586259
PR_LFP_SelfDischarge_REPT_150_0321_0_100,End + 24 hr,2025-11-15 16:01:43.723,2025-11-15 16:01:43.753,3.379586,-7.4090593525840145
PR_LFP_SelfDischarge_REPT_150_0322_0_100,End of charge,2025-11-14 16:04:24.544,2025-11-14 16:04:24.544,3.650015,0.0
PR_LFP_SelfDischarge_REPT_150_0322_0_100,End + 5 min,2025-11-14 16:09:24.544,2025-11-14 16:09:25.112,3.539349,-3.03193274548186
PR_LFP_SelfDischarge_REPT_150_0322_0_100,End + 1 hr,2025-11-14 17:04:24.544,2025-11-14 17:04:24.901,3.452838,-5.402087388681963
PR_LFP_SelfDischarge_REPT_150_0322_0_100,End + 24 hr,2025-11-15 16:04:24.544,2025-11-15 16:04:25.029,3.399363,-6.867149861027959
PR_LFP_SelfDischarge_REPT_150_0323_0_100,End of charge,2025-11-14 16:01:24.698,2025-11-14 16:01:24.698,3.650018,0.0
PR_LFP_SelfDischarge_REPT_150_0323_0_100,End + 5 min,2025-11-14 16:06:24.698,2025-11-14 16:06:25.211,3.537371,-3.0862039584462426
PR_LFP_SelfDischarge_REPT_150_0323_0_100,End + 1 hr,2025-11-14 17:01:24.698,2025-11-14 17:01:24.859,3.448876,-5.510712549910723
PR_LFP_SelfDischarge_REPT_150_0323_0_100,End + 24 hr,2025-11-15 16:01:24.698,2025-11-15 16:01:25.073,3.388892,-7.1541017057998175
PR_LFP_SelfDischarge_REPT_150_0324_0_100,End of charge,2025-11-14 16:05:40.617,2025-11-14 16:05:40.617,3.650019,0.0
PR_LFP_SelfDischarge_REPT_150_0324_0_100,End + 5 min,2025-11-14 16:10:40.617,2025-11-14 16:10:40.807,3.534406,-3.167462963891414
PR_LFP_SelfDischarge_REPT_150_0324_0_100,End + 1 hr,2025-11-14 17:05:40.617,2025-11-14 17:05:41.409,3.444814,-5.622025529182173
PR_LFP_SelfDischarge_REPT_150_0324_0_100,End + 24 hr,2025-11-15 16:05:40.617,2025-11-15 16:05:40.939,3.385405,-7.249660892176175
PR_LFP_SelfDischarge_REPT_150_0325_0_100,End of charge,2025-11-14 16:04:12.784,2025-11-14 16:04:12.784,3.650009,0.0
PR_LFP_SelfDischarge_REPT_150_0325_0_100,End + 5 min,2025-11-14 16:09:12.784,2025-11-14 16:09:13.330,3.534752,-3.1577182412426854
PR_LFP_SelfDischarge_REPT_150_0325_0_100,End + 1 hr,2025-11-14 17:04:12.784,2025-11-14 17:04:13.114,3.443186,-5.666369589773614
PR_LFP_SelfDischarge_REPT_150_0325_0_100,End + 24 hr,2025-11-15 16:04:12.784,2025-11-15 16:04:13.178,3.387395,-7.194886368773329
PR_LFP_SelfDischarge_REPT_150_0326_0_100,End of charge,2025-11-14 16:05:28.325,2025-11-14 16:05:28.325,3.650024,0.0
PR_LFP_SelfDischarge_REPT_150_0326_0_100,End + 5 min,2025-11-14 16:10:28.325,2025-11-14 16:10:28.925,3.530927,-3.2629100520982877
PR_LFP_SelfDischarge_REPT_150_0326_0_100,End + 1 hr,2025-11-14 17:05:28.325,2025-11-14 17:05:28.917,3.438401,-5.797852288094553
PR_LFP_SelfDischarge_REPT_150_0326_0_100,End + 24 hr,2025-11-15 16:05:28.325,2025-11-15 16:05:28.704,3.387769,-7.185021249175351
PR_LFP_SelfDischarge_REPT_150_0327_0_100,End of charge,2025-11-14 16:04:52.170,2025-11-14 16:04:52.170,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0327_0_100,End + 5 min,2025-11-14 16:09:52.170,2025-11-14 16:09:52.778,3.526788,-3.3761212619009786
PR_LFP_SelfDischarge_REPT_150_0327_0_100,End + 1 hr,2025-11-14 17:04:52.170,2025-11-14 17:04:52.567,3.423406,-6.208491631682814
PR_LFP_SelfDischarge_REPT_150_0327_0_100,End + 24 hr,2025-11-15 16:04:52.170,2025-11-15 16:04:52.860,3.364815,-7.813717032002863
PR_LFP_SelfDischarge_REPT_150_0328_0_100,End of charge,2025-11-14 16:02:54.433,2025-11-14 16:02:54.433,3.650018,0.0
PR_LFP_SelfDischarge_REPT_150_0328_0_100,End + 5 min,2025-11-14 16:07:54.433,2025-11-14 16:07:54.614,3.533635,-3.1885596180621665
PR_LFP_SelfDischarge_REPT_150_0328_0_100,End + 1 hr,2025-11-14 17:02:54.433,2025-11-14 17:02:54.530,3.433526,-5.931258421191351
PR_LFP_SelfDischarge_REPT_150_0328_0_100,End + 24 hr,2025-11-15 16:02:54.433,2025-11-15 16:02:55.432,3.367417,-7.742454968715225
PR_LFP_SelfDischarge_REPT_150_0329_0_100,End of charge,2025-11-14 16:01:09.674,2025-11-14 16:01:09.674,3.650016,0.0
PR_LFP_SelfDischarge_REPT_150_0329_0_100,End + 5 min,2025-11-14 16:06:09.674,2025-11-14 16:06:10.181,3.536752,-3.1031096849986417
PR_LFP_SelfDischarge_REPT_150_0329_0_100,End + 1 hr,2025-11-14 17:01:09.674,2025-11-14 17:01:09.851,3.441104,-5.7235913486406576
PR_LFP_SelfDischarge_REPT_150_0329_0_100,End + 24 hr,2025-11-15 16:01:09.674,2025-11-15 16:01:09.675,3.376629,-7.490021961547567
PR_LFP_SelfDischarge_REPT_150_0330_0_100,End of charge,2025-11-14 16:03:12.281,2025-11-14 16:03:12.281,3.650021,0.0
PR_LFP_SelfDischarge_REPT_150_0330_0_100,End + 5 min,2025-11-14 16:08:12.281,2025-11-14 16:08:12.570,3.539852,-3.018311401496045
PR_LFP_SelfDischarge_REPT_150_0330_0_100,End + 1 hr,2025-11-14 17:03:12.281,2025-11-14 17:03:12.429,3.461329,-5.16961409263125
PR_LFP_SelfDischarge_REPT_150_0330_0_100,End + 24 hr,2025-11-15 16:03:12.281,2025-11-15 16:03:13.056,3.401849,-6.799193758063317
PR_LFP_SelfDischarge_REPT_150_0331_0_100,End of charge,2025-11-14 15:56:13.339,2025-11-14 15:56:13.339,3.650019,0.0
PR_LFP_SelfDischarge_REPT_150_0331_0_100,End + 5 min,2025-11-14 16:01:13.339,2025-11-14 16:01:14.347,3.548135,-2.7913279355532143
PR_LFP_SelfDischarge_REPT_150_0331_0_100,End + 1 hr,2025-11-14 16:56:13.339,2025-11-14 16:56:14.282,3.477247,-4.733454812153025
PR_LFP_SelfDischarge_REPT_150_0331_0_100,End + 24 hr,2025-11-15 15:56:13.339,2025-11-15 15:56:13.974,3.422528,-6.2325976933270795
PR_LFP_SelfDischarge_REPT_150_0332_0_100,End of charge,2025-11-14 16:08:34.960,2025-11-14 16:08:34.960,3.650014,0.0
PR_LFP_SelfDischarge_REPT_150_0332_0_100,End + 5 min,2025-11-14 16:13:34.960,2025-11-14 16:13:35.093,3.530415,-3.276672363448469
PR_LFP_SelfDischarge_REPT_150_0332_0_100,End + 1 hr,2025-11-14 17:08:34.960,2025-11-14 17:08:35.827,3.431358,-5.990552365004633
PR_LFP_SelfDischarge_REPT_150_0332_0_100,End + 24 hr,2025-11-15 16:08:34.960,2025-11-15 16:08:35.271,3.370873,-7.647669296610919
PR_LFP_SelfDischarge_REPT_150_0333_0_100,End of charge,2025-11-14 16:05:58.541,2025-11-14 16:05:58.541,3.650025,0.0
PR_LFP_SelfDischarge_REPT_150_0333_0_100,End + 5 min,2025-11-14 16:10:58.541,2025-11-14 16:10:59.062,3.542018,-2.9590756227697
PR_LFP_SelfDischarge_REPT_150_0333_0_100,End + 1 hr,2025-11-14 17:05:58.541,2025-11-14 17:05:58.700,3.457703,-5.269059800960265
PR_LFP_SelfDischarge_REPT_150_0333_0_100,End + 24 hr,2025-11-15 16:05:58.541,2025-11-15 16:05:58.612,3.410554,-6.560804378052206
PR_LFP_SelfDischarge_REPT_150_0334_0_100,End of charge,2025-11-14 16:03:38.213,2025-11-14 16:03:38.213,3.650018,0.0
